Recency,Frequency,Monetary,Cluster,Segment
207,1,369.2,2,At-Risk Customers
254,1,125.65,2,At-Risk Customers
148,2,554.38,2,At-Risk Customers
10,2,1237.8500000000001,1,Regular Customers
85,1,655.75,1,Regular Customers
205,2,468.77000000000004,2,At-Risk Customers
8,4,1366.38,0,High Value Customers
23,6,1303.52,0,High Value Customers
11,9,1421.29,0,High Value Customers
26,1,332.66,1,Regular Customers
21,5,2810.63,0,High Value Customers
2,2,1025.44,1,Regular Customers
158,2,616.15,2,At-Risk Customers
74,1,277.8,1,Regular Customers
3,4,434.35,1,Regular Customers
17,2,867.85,1,Regular Customers
36,4,1227.43,0,High Value Customers
91,2,307.48,1,Regular Customers
71,4,1268.98,0,High Value Customers
116,2,1610.15,1,Regular Customers
213,2,977.77,2,At-Risk Customers
30,2,1316.07,1,Regular Customers
51,1,749.1,1,Regular Customers
246,1,310.05,2,At-Risk Customers
32,1,223.88,1,Regular Customers
109,3,2372.86,0,High Value Customers
5,5,1257.68,0,High Value Customers
82,2,1890.94,0,High Value Customers
297,1,1784.71,2,At-Risk Customers
57,3,1621.88,0,High Value Customers
14,1,100.9,1,Regular Customers
72,2,290.82,1,Regular Customers
23,6,1101.97,0,High Value Customers
19,1,371.2,1,Regular Customers
79,1,311.69,1,Regular Customers
25,1,289.82,1,Regular Customers
12,1,336.17,1,Regular Customers
253,1,58.49,2,At-Risk Customers
147,3,499.68,2,At-Risk Customers
64,4,695.42,1,Regular Customers
8,2,221.27,1,Regular Customers
271,1,126.7,2,At-Risk Customers
10,5,1487.8,0,High Value Customers
247,1,206.21,2,At-Risk Customers
96,2,599.0,1,Regular Customers
15,1,191.32,1,Regular Customers
50,1,463.8,1,Regular Customers
30,1,147.59,1,Regular Customers
68,4,1592.06,0,High Value Customers
35,3,1116.57,1,Regular Customers
128,1,114.77,1,Regular Customers
107,3,1314.45,1,Regular Customers
37,1,114.39,1,Regular Customers
57,1,279.94,1,Regular Customers
57,7,790.86,0,High Value Customers
72,5,1931.42,0,High Value Customers
246,1,102.12,2,At-Risk Customers
19,2,213.27,1,Regular Customers
198,2,296.75,2,At-Risk Customers
16,2,326.4,1,Regular Customers
212,1,334.54,2,At-Risk Customers
39,2,233.23000000000002,1,Regular Customers
46,3,546.1999999999999,1,Regular Customers
170,2,429.87,2,At-Risk Customers
48,1,490.52,1,Regular Customers
116,4,1641.76,0,High Value Customers
147,1,1246.32,2,At-Risk Customers
51,1,502.09,1,Regular Customers
159,1,156.91,2,At-Risk Customers
12,3,1261.78,1,Regular Customers
36,1,308.94,1,Regular Customers
54,2,423.04,1,Regular Customers
43,2,260.17,1,Regular Customers
173,1,170.04,2,At-Risk Customers
34,1,125.58,1,Regular Customers
39,3,496.21000000000004,1,Regular Customers
267,1,266.0,2,At-Risk Customers
9,9,1914.82,0,High Value Customers
12,4,905.04,1,Regular Customers
10,10,1661.33,0,High Value Customers
33,1,377.01,1,Regular Customers
80,3,469.0,1,Regular Customers
31,4,1066.1499999999999,1,Regular Customers
8,4,627.13,1,Regular Customers
72,2,518.28,1,Regular Customers
4,4,668.14,1,Regular Customers
5,10,2586.67,0,High Value Customers
90,1,252.73000000000002,1,Regular Customers
72,3,465.55,1,Regular Customers
59,6,705.49,0,High Value Customers
170,1,180.35,2,At-Risk Customers
199,1,135.93,2,At-Risk Customers
31,1,537.0,1,Regular Customers
152,2,735.66,2,At-Risk Customers
270,1,343.62,2,At-Risk Customers
65,4,384.05,1,Regular Customers
274,1,121.17000000000002,2,At-Risk Customers
25,3,1782.09,0,High Value Customers
23,3,1391.61,1,Regular Customers
319,1,215.78,2,At-Risk Customers
5,3,697.79,1,Regular Customers
12,2,302.1,1,Regular Customers
275,2,1489.5,2,At-Risk Customers
25,11,2124.9900000000002,0,High Value Customers
41,9,1337.72,0,High Value Customers
8,4,303.09,1,Regular Customers
71,4,987.86,1,Regular Customers
213,1,370.79999999999995,2,At-Risk Customers
53,1,893.59,1,Regular Customers
78,3,1744.76,0,High Value Customers
46,2,553.36,1,Regular Customers
179,1,1109.53,2,At-Risk Customers
94,2,982.07,1,Regular Customers
10,3,1043.41,1,Regular Customers
105,1,748.87,1,Regular Customers
78,1,773.03,1,Regular Customers
173,1,880.85,2,At-Risk Customers
213,4,895.61,2,At-Risk Customers
22,5,504.8,1,Regular Customers
257,1,88.2,2,At-Risk Customers
282,1,306.94,2,At-Risk Customers
21,2,1160.07,1,Regular Customers
10,6,2420.84,0,High Value Customers
308,1,381.32,2,At-Risk Customers
68,1,480.71,1,Regular Customers
215,2,457.81,2,At-Risk Customers
104,4,1370.6,0,High Value Customers
43,1,219.39000000000001,1,Regular Customers
4,1,248.08,1,Regular Customers
84,1,410.48,1,Regular Customers
9,2,317.53,1,Regular Customers
31,2,703.36,1,Regular Customers
197,2,1027.44,2,At-Risk Customers
18,7,2298.93,0,High Value Customers
18,5,1422.52,0,High Value Customers
311,6,319.5,2,At-Risk Customers
142,4,1300.25,0,High Value Customers
246,1,484.95,2,At-Risk Customers
24,4,996.1,1,Regular Customers
29,3,1567.48,0,High Value Customers
30,10,2760.56,0,High Value Customers
18,1,340.11,1,Regular Customers
18,4,1352.75,0,High Value Customers
15,5,1551.78,0,High Value Customers
134,1,244.8,2,At-Risk Customers
246,1,266.4,2,At-Risk Customers
134,1,358.82,2,At-Risk Customers
50,2,457.72,1,Regular Customers
114,3,1633.78,0,High Value Customers
7,2,2199.31,0,High Value Customers
23,2,184.19,1,Regular Customers
66,1,406.53,1,Regular Customers
60,4,1471.0,0,High Value Customers
170,1,330.11,2,At-Risk Customers
18,5,977.9300000000001,0,High Value Customers
128,3,982.42,1,Regular Customers
15,8,1387.99,0,High Value Customers
239,1,139.05,2,At-Risk Customers
3,4,1286.7,0,High Value Customers
240,2,178.96,2,At-Risk Customers
52,7,2354.25,0,High Value Customers
46,1,498.74,1,Regular Customers
226,1,259.45,2,At-Risk Customers
4,4,1194.73,0,High Value Customers
165,2,1327.16,2,At-Risk Customers
240,1,623.5,2,At-Risk Customers
11,1,301.29,1,Regular Customers
134,1,520.8000000000001,1,Regular Customers
31,1,329.25,1,Regular Customers
75,1,296.42,1,Regular Customers
1,3,961.49,1,Regular Customers
4,3,1936.07,0,High Value Customers
45,1,401.40000000000003,1,Regular Customers
18,2,304.47,1,Regular Customers
69,3,843.05,1,Regular Customers
321,1,163.0,2,At-Risk Customers
26,1,106.56,1,Regular Customers
9,5,1624.05,0,High Value Customers
323,1,135.75,2,At-Risk Customers
72,1,224.14,1,Regular Customers
260,1,40.5,2,At-Risk Customers
18,5,2206.95,0,High Value Customers
66,3,689.4799999999999,1,Regular Customers
154,2,622.85,2,At-Risk Customers
29,2,406.76,1,Regular Customers
70,1,310.62,1,Regular Customers
14,2,411.41,1,Regular Customers
120,3,1044.32,1,Regular Customers
61,1,499.32,1,Regular Customers
11,3,1079.6100000000001,1,Regular Customers
92,2,193.64,1,Regular Customers
59,4,1268.7,0,High Value Customers
87,5,1236.54,0,High Value Customers
26,6,1827.8,0,High Value Customers
85,2,653.24,1,Regular Customers
10,4,420.29999999999995,1,Regular Customers
1,5,870.12,0,High Value Customers
225,1,331.18,2,At-Risk Customers
60,2,894.4100000000001,1,Regular Customers
241,1,101.8,2,At-Risk Customers
319,2,328.35,2,At-Risk Customers
2,8,1661.44,0,High Value Customers
47,3,734.94,1,Regular Customers
88,1,96.6,1,Regular Customers
176,1,305.75,2,At-Risk Customers
52,6,1778.96,0,High Value Customers
319,1,585.0,2,At-Risk Customers
226,2,755.75,2,At-Risk Customers
234,1,409.40000000000003,2,At-Risk Customers
311,1,154.41,2,At-Risk Customers
37,5,1219.4,0,High Value Customers
239,2,429.6,2,At-Risk Customers
113,2,612.06,1,Regular Customers
277,1,197.0,2,At-Risk Customers
299,1,321.05,2,At-Risk Customers
2,4,1412.32,0,High Value Customers
29,3,1071.99,1,Regular Customers
10,2,780.59,1,Regular Customers
45,5,1706.57,0,High Value Customers
67,8,1756.44,0,High Value Customers
74,1,316.68,1,Regular Customers
65,2,631.57,1,Regular Customers
134,3,2515.84,0,High Value Customers
238,2,514.15,2,At-Risk Customers
122,1,356.0,1,Regular Customers
36,2,740.78,1,Regular Customers
16,5,918.1999999999999,0,High Value Customers
127,1,300.36,1,Regular Customers
67,1,890.85,1,Regular Customers
149,1,98.45,2,At-Risk Customers
283,1,317.15,2,At-Risk Customers
169,2,623.16,2,At-Risk Customers
100,7,1810.77,0,High Value Customers
135,1,254.82,2,At-Risk Customers
324,1,178.95000000000002,2,At-Risk Customers
107,1,156.51,1,Regular Customers
64,1,393.74,1,Regular Customers
151,2,1506.1200000000001,1,Regular Customers
22,5,1717.36,0,High Value Customers
24,1,408.8,1,Regular Customers
16,7,2379.49,0,High Value Customers
57,2,721.94,1,Regular Customers
4,2,716.57,1,Regular Customers
38,1,615.14,1,Regular Customers
66,1,135.31,1,Regular Customers
47,1,255.89999999999998,1,Regular Customers
172,1,113.12,2,At-Risk Customers
59,9,2332.15,0,High Value Customers
50,1,240.55,1,Regular Customers
22,2,486.69,1,Regular Customers
43,5,2306.52,0,High Value Customers
29,3,939.78,1,Regular Customers
201,1,180.94,2,At-Risk Customers
10,3,641.94,1,Regular Customers
64,1,496.44,1,Regular Customers
290,1,574.02,2,At-Risk Customers
61,8,694.4000000000001,0,High Value Customers
64,3,1174.35,1,Regular Customers
96,1,205.3,1,Regular Customers
274,1,310.47,2,At-Risk Customers
75,4,924.85,1,Regular Customers
110,1,52.0,1,Regular Customers
199,1,327.97,2,At-Risk Customers
64,2,570.5,1,Regular Customers
327,1,165.0,2,At-Risk Customers
4,1,312.62,1,Regular Customers
284,1,204.5,2,At-Risk Customers
44,1,267.13,1,Regular Customers
71,3,2748.31,0,High Value Customers
86,1,679.68,1,Regular Customers
104,1,162.29,1,Regular Customers
53,1,208.75,1,Regular Customers
39,3,1049.7,1,Regular Customers
32,2,714.96,1,Regular Customers
208,1,1028.56,2,At-Risk Customers
157,3,351.67,2,At-Risk Customers
54,1,173.97,1,Regular Customers
66,2,574.07,1,Regular Customers
81,1,2020.52,1,Regular Customers
130,1,406.09,1,Regular Customers
87,1,364.5,1,Regular Customers
1,3,563.94,1,Regular Customers
46,1,393.54,1,Regular Customers
72,1,158.04,1,Regular Customers
158,2,473.81,2,At-Risk Customers
12,7,1960.1100000000001,0,High Value Customers
255,2,777.02,2,At-Risk Customers
29,2,277.05,1,Regular Customers
31,10,2766.5,0,High Value Customers
40,1,427.93,1,Regular Customers
96,2,913.19,1,Regular Customers
26,7,2314.32,0,High Value Customers
75,2,602.51,1,Regular Customers
57,4,1877.59,0,High Value Customers
21,1,446.94000000000005,1,Regular Customers
41,7,2386.05,0,High Value Customers
137,1,2007.3999999999999,1,Regular Customers
129,1,168.0,1,Regular Customers
40,3,1233.3600000000001,1,Regular Customers
9,5,1690.2600000000002,0,High Value Customers
214,2,596.85,2,At-Risk Customers
170,2,642.41,2,At-Risk Customers
40,1,316.88,1,Regular Customers
186,1,394.14,2,At-Risk Customers
270,1,140.54,2,At-Risk Customers
172,1,500.0,2,At-Risk Customers
5,4,1535.53,0,High Value Customers
16,2,231.86,1,Regular Customers
10,4,2183.54,0,High Value Customers
326,1,107.45,2,At-Risk Customers
113,1,288.18,1,Regular Customers
290,1,94.0,2,At-Risk Customers
16,2,1345.53,1,Regular Customers
1,3,815.77,1,Regular Customers
92,5,716.2,1,Regular Customers
149,2,626.77,2,At-Risk Customers
189,1,349.1,2,At-Risk Customers
31,2,510.71000000000004,1,Regular Customers
34,4,1056.44,1,Regular Customers
264,1,267.18,2,At-Risk Customers
26,4,1358.88,0,High Value Customers
171,1,190.53,2,At-Risk Customers
10,3,774.9000000000001,1,Regular Customers
313,1,572.8100000000001,2,At-Risk Customers
85,1,508.8,1,Regular Customers
25,1,135.86,1,Regular Customers
59,4,950.36,1,Regular Customers
323,2,97.7,2,At-Risk Customers
38,1,43.5,1,Regular Customers
254,2,383.34,2,At-Risk Customers
19,5,1447.39,0,High Value Customers
33,3,1483.14,0,High Value Customers
15,1,93.78,1,Regular Customers
27,2,397.35,1,Regular Customers
23,1,171.19,1,Regular Customers
214,2,533.3,2,At-Risk Customers
8,5,1041.48,0,High Value Customers
22,1,149.29,1,Regular Customers
12,3,1122.53,1,Regular Customers
262,1,200.16,2,At-Risk Customers
131,1,156.57999999999998,2,At-Risk Customers
55,3,383.68,1,Regular Customers
249,1,594.0,2,At-Risk Customers
9,2,1418.26,1,Regular Customers
264,1,113.5,2,At-Risk Customers
313,1,494.64,2,At-Risk Customers
26,3,974.52,1,Regular Customers
30,1,429.84,1,Regular Customers
30,3,538.73,1,Regular Customers
2,7,1388.37,0,High Value Customers
283,3,447.22,2,At-Risk Customers
262,1,237.07,2,At-Risk Customers
25,1,161.64,1,Regular Customers
94,3,234.6,1,Regular Customers
29,1,126.14,1,Regular Customers
85,1,334.53,1,Regular Customers
9,3,524.88,1,Regular Customers
51,2,467.51,1,Regular Customers
50,2,538.55,1,Regular Customers
2,1,469.48,1,Regular Customers
113,1,371.56,1,Regular Customers
14,7,1771.2,0,High Value Customers
77,1,454.10999999999996,1,Regular Customers
40,2,1441.42,1,Regular Customers
116,1,905.5,1,Regular Customers
161,4,233.81,2,At-Risk Customers
30,3,2575.0,0,High Value Customers
93,1,91.32000000000001,1,Regular Customers
23,3,1134.28,1,Regular Customers
28,2,659.4599999999999,1,Regular Customers
33,5,2001.8,0,High Value Customers
21,2,1299.23,1,Regular Customers
18,2,1262.2,1,Regular Customers
8,4,1131.56,1,Regular Customers
81,1,52.83,1,Regular Customers
23,3,979.26,1,Regular Customers
172,1,492.36,2,At-Risk Customers
189,6,1000.27,0,High Value Customers
12,5,909.23,0,High Value Customers
156,2,121.0,2,At-Risk Customers
45,3,62.43,1,Regular Customers
233,1,267.03,2,At-Risk Customers
64,8,1942.45,0,High Value Customers
2,1,343.5,1,Regular Customers
40,8,3000.2,0,High Value Customers
33,2,398.84,1,Regular Customers
84,1,412.01000000000005,1,Regular Customers
25,1,440.0,1,Regular Customers
2,3,825.92,1,Regular Customers
33,2,148.44,1,Regular Customers
19,8,2429.78,0,High Value Customers
254,1,229.33,2,At-Risk Customers
22,4,1502.35,0,High Value Customers
8,2,2007.44,0,High Value Customers
25,4,1580.93,0,High Value Customers
19,3,807.57,1,Regular Customers
173,4,536.4,2,At-Risk Customers
163,1,110.92,2,At-Risk Customers
7,1,538.46,1,Regular Customers
11,1,213.3,1,Regular Customers
114,1,85.13000000000001,1,Regular Customers
288,1,127.86,2,At-Risk Customers
54,2,292.71999999999997,1,Regular Customers
77,3,1693.26,0,High Value Customers
4,4,575.63,1,Regular Customers
37,1,436.06,1,Regular Customers
217,1,90.12,2,At-Risk Customers
60,1,437.23,1,Regular Customers
278,1,217.2,2,At-Risk Customers
24,1,279.77,1,Regular Customers
29,1,473.65000000000003,1,Regular Customers
12,4,800.59,1,Regular Customers
22,4,1400.44,0,High Value Customers
50,2,173.16,1,Regular Customers
19,1,186.01,1,Regular Customers
3,3,758.29,1,Regular Customers
104,5,1375.71,0,High Value Customers
12,4,650.4300000000001,1,Regular Customers
5,7,2552.86,0,High Value Customers
32,2,607.45,1,Regular Customers
178,4,702.25,2,At-Risk Customers
38,1,940.6700000000001,1,Regular Customers
151,3,258.88,2,At-Risk Customers
162,1,127.1,2,At-Risk Customers
69,2,348.6,1,Regular Customers
25,3,682.9100000000001,1,Regular Customers
24,4,725.11,1,Regular Customers
177,1,455.3,2,At-Risk Customers
50,4,913.6800000000001,1,Regular Customers
256,3,478.53000000000003,2,At-Risk Customers
47,1,388.58,1,Regular Customers
71,1,199.8,1,Regular Customers
16,5,1771.78,0,High Value Customers
101,5,1406.59,0,High Value Customers
35,1,324.57,1,Regular Customers
53,1,240.68,1,Regular Customers
27,2,761.74,1,Regular Customers
8,9,1297.8700000000001,0,High Value Customers
79,1,48.480000000000004,1,Regular Customers
52,1,216.39,1,Regular Customers
36,5,1198.23,0,High Value Customers
61,9,2920.16,0,High Value Customers
28,4,1093.68,1,Regular Customers
184,1,298.48,2,At-Risk Customers
52,1,112.46000000000001,1,Regular Customers
36,2,195.15,1,Regular Customers
33,4,776.851,1,Regular Customers
11,1,336.40000000000003,1,Regular Customers
57,3,1553.18,0,High Value Customers
4,4,1293.03,0,High Value Customers
141,1,301.03,2,At-Risk Customers
117,4,588.13,1,Regular Customers
104,4,1534.26,0,High Value Customers
75,2,675.8,1,Regular Customers
5,9,2870.2400000000002,0,High Value Customers
45,2,1186.35,1,Regular Customers
17,1,243.55,1,Regular Customers
90,2,724.76,1,Regular Customers
53,1,223.36,1,Regular Customers
134,1,425.32,2,At-Risk Customers
105,4,1887.2,0,High Value Customers
192,3,664.0,2,At-Risk Customers
166,4,813.0,2,At-Risk Customers
19,1,612.01,1,Regular Customers
158,3,447.64000000000004,2,At-Risk Customers
204,2,657.35,2,At-Risk Customers
37,3,646.3,1,Regular Customers
91,1,337.74,1,Regular Customers
93,2,877.4399999999999,1,Regular Customers
9,2,922.53,1,Regular Customers
243,1,560.67,2,At-Risk Customers
45,4,748.5,1,Regular Customers
23,1,30.0,1,Regular Customers
190,5,1024.1000000000001,2,At-Risk Customers
44,1,306.45,1,Regular Customers
25,9,1600.86,0,High Value Customers
317,2,309.8,2,At-Risk Customers
106,1,138.14,1,Regular Customers
51,1,386.43,1,Regular Customers
168,2,2242.01,0,High Value Customers
40,1,301.32,1,Regular Customers
218,1,76.32000000000001,2,At-Risk Customers
40,4,684.34,1,Regular Customers
297,1,173.05,2,At-Risk Customers
19,7,2657.13,0,High Value Customers
88,4,2881.02,0,High Value Customers
73,5,2446.6,0,High Value Customers
81,3,323.69,1,Regular Customers
49,1,657.23,1,Regular Customers
53,1,352.7,1,Regular Customers
24,4,781.28,1,Regular Customers
9,3,1333.68,1,Regular Customers
25,5,1426.16,0,High Value Customers
117,1,193.75,1,Regular Customers
9,9,2993.1,0,High Value Customers
120,2,254.1,1,Regular Customers
4,2,239.76,1,Regular Customers
252,1,136.8,2,At-Risk Customers
28,1,191.04,1,Regular Customers
267,2,409.98,2,At-Risk Customers
33,8,2736.46,0,High Value Customers
18,1,309.65,1,Regular Customers
172,2,696.68,2,At-Risk Customers
2,4,1542.14,0,High Value Customers
265,1,211.5,2,At-Risk Customers
140,4,2293.62,0,High Value Customers
201,1,143.1,2,At-Risk Customers
64,4,1060.56,1,Regular Customers
35,4,945.58,1,Regular Customers
284,1,133.25,2,At-Risk Customers
9,5,1072.3600000000001,0,High Value Customers
143,2,356.7,2,At-Risk Customers
12,2,330.88,1,Regular Customers
146,4,1118.81,1,Regular Customers
234,1,150.3,2,At-Risk Customers
24,1,598.73,1,Regular Customers
12,1,507.08,1,Regular Customers
36,5,2222.56,0,High Value Customers
201,2,218.25,2,At-Risk Customers
15,1,415.25,1,Regular Customers
213,1,85.0,2,At-Risk Customers
66,3,1120.88,1,Regular Customers
212,2,294.12,2,At-Risk Customers
283,1,162.3,2,At-Risk Customers
115,2,1339.45,1,Regular Customers
15,8,1205.1200000000001,0,High Value Customers
66,1,449.12,1,Regular Customers
49,1,154.88,1,Regular Customers
16,4,784.46,1,Regular Customers
78,1,34.8,1,Regular Customers
19,4,1094.59,1,Regular Customers
134,1,196.88,2,At-Risk Customers
13,3,974.04,1,Regular Customers
40,1,149.31,1,Regular Customers
3,8,2465.48,0,High Value Customers
40,7,2637.38,0,High Value Customers
305,1,79.2,2,At-Risk Customers
51,3,458.57,1,Regular Customers
10,6,2364.25,0,High Value Customers
61,4,532.96,1,Regular Customers
66,2,714.42,1,Regular Customers
25,1,205.25,1,Regular Customers
218,3,253.04,2,At-Risk Customers
65,2,583.75,1,Regular Customers
32,2,1086.92,1,Regular Customers
64,1,315.06,1,Regular Customers
116,3,621.8299999999999,1,Regular Customers
6,1,635.6800000000001,1,Regular Customers
69,1,270.8,1,Regular Customers
245,1,104.9,2,At-Risk Customers
133,1,241.62,2,At-Risk Customers
241,4,1047.11,2,At-Risk Customers
184,3,475.28000000000003,2,At-Risk Customers
25,3,345.46,1,Regular Customers
10,3,2614.7400000000002,0,High Value Customers
11,1,246.3,1,Regular Customers
33,5,2328.9700000000003,0,High Value Customers
26,3,948.05,1,Regular Customers
10,1,220.85,1,Regular Customers
44,2,1612.69,1,Regular Customers
15,3,965.61,1,Regular Customers
150,1,610.01,2,At-Risk Customers
1,8,2711.56,0,High Value Customers
113,4,2207.4,0,High Value Customers
76,3,884.14,1,Regular Customers
107,2,699.08,1,Regular Customers
46,3,1063.95,1,Regular Customers
143,1,451.42,2,At-Risk Customers
51,1,415.82000000000005,1,Regular Customers
46,3,784.58,1,Regular Customers
50,3,903.9,1,Regular Customers
36,5,515.77,1,Regular Customers
79,4,1391.98,0,High Value Customers
22,6,2218.62,0,High Value Customers
107,5,1801.14,0,High Value Customers
208,2,1303.9099999999999,2,At-Risk Customers
17,4,1945.33,0,High Value Customers
64,5,2100.6,0,High Value Customers
49,4,1905.45,0,High Value Customers
320,1,206.98,2,At-Risk Customers
44,2,570.96,1,Regular Customers
3,2,885.47,1,Regular Customers
172,1,532.94,2,At-Risk Customers
56,3,1654.31,0,High Value Customers
99,2,636.14,1,Regular Customers
38,1,576.0,1,Regular Customers
58,3,801.76,1,Regular Customers
254,1,836.79,2,At-Risk Customers
70,4,2233.75,0,High Value Customers
44,4,954.09,1,Regular Customers
50,1,137.37,1,Regular Customers
65,1,391.98,1,Regular Customers
33,3,1048.49,1,Regular Customers
59,2,355.56,1,Regular Customers
73,4,1224.06,0,High Value Customers
304,1,118.95000000000002,2,At-Risk Customers
46,1,130.73999999999998,1,Regular Customers
38,2,389.27,1,Regular Customers
19,2,238.85,1,Regular Customers
187,2,160.71,2,At-Risk Customers
52,1,110.8,1,Regular Customers
137,5,712.24,1,Regular Customers
19,1,297.0,1,Regular Customers
16,5,1438.85,0,High Value Customers
41,8,977.21,0,High Value Customers
8,4,832.88,1,Regular Customers
26,2,68.84,1,Regular Customers
22,6,1936.3200000000002,0,High Value Customers
41,3,895.13,1,Regular Customers
101,1,230.53,1,Regular Customers
277,2,149.64,2,At-Risk Customers
33,1,354.09000000000003,1,Regular Customers
15,2,360.93,1,Regular Customers
2,2,493.28,1,Regular Customers
312,5,501.39000000000004,2,At-Risk Customers
199,4,516.36,2,At-Risk Customers
2,2,396.48,1,Regular Customers
93,3,379.35,1,Regular Customers
60,1,181.09,1,Regular Customers
81,1,168.31,1,Regular Customers
157,2,446.87,2,At-Risk Customers
227,1,524.52,2,At-Risk Customers
253,2,263.55,2,At-Risk Customers
150,1,179.17,2,At-Risk Customers
194,2,222.05,2,At-Risk Customers
1,5,1388.88,0,High Value Customers
24,1,351.11,1,Regular Customers
17,3,363.88,1,Regular Customers
8,1,164.68,1,Regular Customers
20,7,1567.69,0,High Value Customers
4,3,967.45,1,Regular Customers
174,1,191.94,2,At-Risk Customers
1,8,1232.18,0,High Value Customers
178,2,264.62,2,At-Risk Customers
16,8,1528.09,0,High Value Customers
248,1,123.1,2,At-Risk Customers
191,2,334.23,2,At-Risk Customers
20,2,639.89,1,Regular Customers
154,4,167.5,2,At-Risk Customers
173,1,336.03000000000003,2,At-Risk Customers
194,1,207.15,2,At-Risk Customers
67,1,426.63,1,Regular Customers
4,8,2495.87,0,High Value Customers
21,3,1107.46,1,Regular Customers
239,2,416.86,2,At-Risk Customers
64,1,145.35,1,Regular Customers
112,5,404.58,1,Regular Customers
311,1,35.8,2,At-Risk Customers
134,1,337.44,2,At-Risk Customers
277,1,325.1,2,At-Risk Customers
83,1,1708.24,1,Regular Customers
8,2,955.24,1,Regular Customers
17,2,364.72,1,Regular Customers
32,4,1765.51,0,High Value Customers
9,2,708.22,1,Regular Customers
34,4,806.57,1,Regular Customers
15,8,1659.3799999999999,0,High Value Customers
32,1,428.89,1,Regular Customers
74,1,104.35,1,Regular Customers
20,2,470.76,1,Regular Customers
17,4,845.64,1,Regular Customers
23,2,418.83,1,Regular Customers
3,3,666.1,1,Regular Customers
304,1,314.1,2,At-Risk Customers
84,1,371.01,1,Regular Customers
165,2,430.94,2,At-Risk Customers
17,2,1054.73,1,Regular Customers
77,1,1098.78,1,Regular Customers
89,3,2398.86,0,High Value Customers
22,4,1475.02,0,High Value Customers
3,10,2837.67,0,High Value Customers
123,2,1142.42,1,Regular Customers
30,1,168.12,1,Regular Customers
12,7,1451.28,0,High Value Customers
19,1,158.03,1,Regular Customers
44,2,792.11,1,Regular Customers
4,1,41.989999999999995,1,Regular Customers
9,7,2797.57,0,High Value Customers
55,1,427.07,1,Regular Customers
88,6,1060.68,0,High Value Customers
30,5,2735.37,0,High Value Customers
12,4,615.39,1,Regular Customers
211,1,101.4,2,At-Risk Customers
48,4,1701.94,0,High Value Customers
24,3,478.78,1,Regular Customers
22,4,992.71,1,Regular Customers
246,3,407.5,2,At-Risk Customers
35,3,1415.29,1,Regular Customers
38,3,662.38,1,Regular Customers
4,3,705.39,1,Regular Customers
3,8,1508.76,0,High Value Customers
47,1,211.88,1,Regular Customers
39,2,408.90000000000003,1,Regular Customers
17,3,851.01,1,Regular Customers
260,1,628.28,2,At-Risk Customers
46,3,719.81,1,Regular Customers
12,1,251.24,1,Regular Customers
30,1,439.65999999999997,1,Regular Customers
43,1,236.09,1,Regular Customers
92,6,934.62,0,High Value Customers
310,1,331.24,2,At-Risk Customers
92,2,548.94,1,Regular Customers
196,3,437.7,2,At-Risk Customers
87,2,758.92,1,Regular Customers
270,3,855.02,2,At-Risk Customers
8,3,471.78000000000003,1,Regular Customers
65,3,1313.55,1,Regular Customers
22,5,1197.27,0,High Value Customers
38,4,773.99,1,Regular Customers
120,4,1340.7,0,High Value Customers
40,3,1111.79,1,Regular Customers
174,1,137.9,2,At-Risk Customers
54,1,362.06,1,Regular Customers
33,2,1511.95,1,Regular Customers
145,1,783.9,2,At-Risk Customers
221,1,134.8,2,At-Risk Customers
45,1,664.85,1,Regular Customers
16,7,2263.12,0,High Value Customers
66,6,1459.8600000000001,0,High Value Customers
10,4,1153.62,0,High Value Customers
260,1,335.32,2,At-Risk Customers
17,5,1521.87,0,High Value Customers
22,2,852.15,1,Regular Customers
45,1,326.24,1,Regular Customers
288,1,584.3199999999999,2,At-Risk Customers
297,1,122.39999999999999,2,At-Risk Customers
3,10,2234.73,0,High Value Customers
284,1,79.2,2,At-Risk Customers
17,3,1352.0,1,Regular Customers
82,2,217.16,1,Regular Customers
56,5,2806.9,0,High Value Customers
101,2,1317.62,1,Regular Customers
299,1,436.18,2,At-Risk Customers
23,5,981.51,0,High Value Customers
59,5,1121.39,0,High Value Customers
155,2,315.06,2,At-Risk Customers
115,3,817.86,1,Regular Customers
107,1,17.0,1,Regular Customers
12,4,1078.23,1,Regular Customers
264,1,320.62,2,At-Risk Customers
240,1,185.04999999999998,2,At-Risk Customers
88,7,2005.63,0,High Value Customers
50,3,731.9,1,Regular Customers
71,1,1290.7,1,Regular Customers
42,3,1842.14,0,High Value Customers
7,6,1429.64,0,High Value Customers
62,1,302.36,1,Regular Customers
249,1,336.96,2,At-Risk Customers
66,1,108.38,1,Regular Customers
85,1,842.5,1,Regular Customers
219,2,611.88,2,At-Risk Customers
45,3,1337.48,1,Regular Customers
143,4,195.73999999999998,1,Regular Customers
183,1,161.38,2,At-Risk Customers
171,1,135.75000000000003,2,At-Risk Customers
10,8,1667.97,0,High Value Customers
212,1,612.78,2,At-Risk Customers
190,1,232.21,2,At-Risk Customers
8,2,423.36,1,Regular Customers
59,4,1309.14,0,High Value Customers
57,2,867.11,1,Regular Customers
73,4,684.4200000000001,1,Regular Customers
52,1,307.78,1,Regular Customers
317,1,249.0,2,At-Risk Customers
39,1,656.25,1,Regular Customers
18,5,1880.22,0,High Value Customers
